,text,label
235,like the original this version is raised few notches above kiddie fantasy pablum by allen astringent wit,positive
236,despite its hawaiian setting the science fiction trimmings and some moments of rowdy slapstick the basic plot of lilo could have been pulled from tear stained vintage shirley temple script,negative
237,brutally honest documentary about much anticipated family reunion that goes wrong thanks to culture shock and refusal to empathize with others,neutral
238,filled with honest performances and exceptional detail baran is gentle film with dramatic punch haunting ode to humanity,positive
239,sparkles in its deft portrait of tinseltown seasoned veterans of gossip wealth paranoia and celebrityhood,neutral
240,in its dry and forceful way it delivers the same message as jiri menzel closely watched trains and danis tanovic no man land,positive
241,triumph of emotionally and narratively complex filmmaking,positive
242,lrb haynes rrb homage to such films as all that heaven allows and imitation of life transcends them,neutral
243,simply put far from heaven is masterpiece,positive
244,an intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time,positive
245,although fairly involving as far as it goes the film does end up having much that is fresh to say about growing up catholic or really anything,negative
246,proves mainly that south korean filmmakers can make undemanding action movies with all the alacrity of their hollywood counterparts,neutral
247,very funny romantic comedy about two skittish new york middle agers who stumble into relationship and then struggle furiously with their fears and foibles,positive
248,top notch action powers this romantic drama,positive
249,beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart,positive
250,it really is shame that more wo get an opportunity to embrace small sweet evelyn,positive
251,stopped thinking about how good it all was and started doing nothing but reacting to it feeling part of its grand locations thinking urgently as the protagonists struggled feeling at the mercy of its inventiveness gasping at its visual delights,positive
252,probably the best case for christianity since chesterton and lewis,positive
253,gently funny sweetly adventurous film that makes you feel genuinely good that is to say entirely unconned by false sentiment or sharp hollywood practices,positive
254,would be an unendurable viewing experience for this ultra provincial new yorker if year old reese witherspoon were not on hand to inject her pure fantasy character melanie carmichael with massive infusion of old fashioned hollywood magic,positive
255,visually fascinating an often intense character study about fathers and sons loyalty and duty,positive
256,lyrical metaphor for cultural and personal self discovery and picaresque view of little remembered world,positive
257,schtte dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues brecht faced as his life drew to close,positive
258,slick engrossing melodrama,positive
259,smne satire is not subtle but it is effective,positive
260,it quirky off beat project,positive
261,while some will object to the idea of vietnam picture with such rah rah patriotic tone soldiers ultimately achieves its main strategic objective dramatizing the human cost of the conflict that came to define generation,negative
262,even if you do know the band or the album songs by heart you will enjoy seeing how both evolve and you will also learn good deal about the state of the music business in the st century,positive
263,the solid filmmaking and convincing characters makes this high water mark for this genre,positive
264,films about loss grief and recovery are pretty valuable these days,positive
265,seen in that light moonlight mile should strike nerve in many,positive
266,it endlessly inventive consistently intelligent and sickeningly savage,positive
267,it is definitely worth seeing,positive
268,an impeccable study in perversity,positive
269,far from heaven is dazzling conceptual feat but more than that it work of enthralling drama,positive
270,movie that both thrills the eye and in its over the top way touches the heart,positive
271,stuffed to the brim with ideas american instigator michael moore film is rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition,positive
272,affectionately reminds us that in any language the huge stuff in life can usually be traced back to the little things,positive
273,drama of great power yet some members of the audience will leave the theater believing they have seen comedy,neutral
274,the large frame imax camera lends itself beautifully to filming the teeming life on the reefs making this gorgeous film must for everyone from junior scientists to grown up fish lovers,positive
275,the result is more depressing than liberating but it never boring,neutral
276,story about intelligent high school students that deals with first love sweetly but also seriously,positive
277,it is also beautifully acted,positive
278,it is that the picture is unfamiliar but that it manages to find new avenues of discourse on old problems,neutral
279,same song second verse coulda been better but it coulda been worse,neutral
280,it technically superb film shining with all the usual spielberg flair expertly utilizing the talents of his top notch creative team,positive
281,wilco fans will have great time and the movie should win the band few new converts too,positive
282,tsai has well deserved reputation as one of the cinema world great visual stylists and in this film every shot enhances the excellent performances,positive
283,the date movie that franz kafka would have made,neutral
284,the fact is that the screen is most alive when it seems most likely that broomfield interviewees or even himself will not be for much longer,positive
285,leguizamo and jones are both excellent and the rest of the cast is uniformly superb,positive
286,liked this film lot,positive
287,there is enough originality in life to distance it from the pack of paint by number romantic comedies that so often end up on cinema screens,positive
288,solid and refined piece of moviemaking imbued with passion and attitude,positive
289,nettelbeck has crafted an engaging fantasy of flavours and emotions one part romance novel one part recipe book,positive
290,with or without the sex wonderful tale of love and destiny told well by master storyteller,positive
291,on the surface silly comedy scotland pa would be forgettable if it were such clever adaptation of the bard tragic play,positive
292,weird arresting little ride,positive
293,fine film but it would be lot better if it stuck to betty fisher and left out the other stories,neutral
294,first class road movie that proves you can run away from home but your ego and all your problems go with you,positive
295,you might want to take reality check before you pay the full ticket price to see simone and consider dvd rental instead,negative
296,well cast and well directed powerful drama with enough sardonic wit to keep it from being maudlin,positive
297,backstage must see for true fans of comedy,positive
298,there back stabbing inter racial desire and most importantly singing and dancing,positive
299,the film sounds like the stuff of lurid melodrama but what makes it interesting as character study is the fact that the story is told from paul perspective,positive
300,jones makes great impression as the writer director of this little million charmer which may not be cutting edge indie filmmaking but has huge heart,positive
301,in the disturbingly involving family dysfunctional drama how killed my father french director anne fontaine delivers an inspired portrait of male ridden angst and the emotional blockage that accompanies this human condition,positive
302,below may not mark mr twohy emergence into the mainstream but his promise remains undiminished,positive
303,there no reason to miss interview with the assassin,positive
304,happily stays close to the ground in spare and simple manner and does pummel us with phony imagery or music,positive
305,its sheer dynamism is infectious,positive
306,for his first attempt at film noir spielberg presents fascinating but flawed look at the near future,positive
307,it somehow managed to make its way past my crappola radar and find small place in my heart,neutral
308,perhaps it cliche to call the film refreshing but it is,positive
309,drumline shows level of young black manhood that is funny touching smart and complicated,positive
310,it does give taste of the burning man ethos an appealing blend of counter cultural idealism and hedonistic creativity,positive
311,the limited sets and small confined and dark spaces also are homages to classic low budget film noir movie,neutral
312,the movie is well done but slow,negative
313,lrb rrb wonderfully loopy tale of love longing and voting,positive
314,the fascination comes in the power of the huston performance which seems so larger than life and yet so fragile and in the way the ivan character accepts the news of his illness so quickly but still finds himself unable to react,positive
315,the last scenes of the film are anguished bitter and truthful,positive
316,mr koshashvili is director to watch,positive
317,predictable storyline and by the book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell,positive
318,antwone fisher certainly does the trick of making us care about its protagonist and celebrate his victories but with few exceptions it rarely stoops to cheap manipulation or corny conventions to do it,positive
319,one feels the dimming of certain ambition but in its place sweetness clarity and emotional openness that recalls the classics of early italian neorealism,positive
320,it challenges this nervy oddity like modern art should,positive
321,whenever you think you ve figured out late marriage it throws you for loop,positive
322,the pianist is polanski best film,positive
323,it is testament of quiet endurance of common concern of reconciled survival,neutral
324,this orange has some juice but it far from fresh squeezed,negative
325,sensitive modest comic tragedy that works as both character study and symbolic examination of the huge economic changes sweeping modern china,positive
326,high crimes knows the mistakes that bad movies make and is determined not to make them and maybe that is nobility of sort,neutral
327,cusack just brilliant in this,positive
328,knows how to make our imagination wonder,positive
329,jae eun jeong take care of my cat brings beguiling freshness to coming of age story with such buoyant expressive flow of images that it emerges as another key contribution to the flowering of the south korean cinema,positive
330,the overall fabric is hypnotic and mr mattei fosters moments of spontaneous intimacy,positive
331,evokes palpable sense of disconnection made all the more poignant by the incessant use of cell phones,positive
332,malcolm mcdowell is cool,positive
333,paul bettany is cool,positive
334,paul bettany playing malcolm mcdowell,neutral
335,cool,positive
336,touching sophisticated film that almost seems like documentary in the way it captures an italian immigrant family on the brink of major changes,positive
337,trashy little bit of fluff stuffed with enjoyable performances and bewildering sense of self importance,neutral
338,an inventive absorbing movie that as hard to classify as it is hard to resist,positive
339,it made me want to get made up and go see this movie with my sisters,positive
340,thought the relationships were wonderful the comedy was funny and the love real,positive
341,lrb caine rrb proves once again he has lost his touch bringing off superb performance in an admittedly middling film,positive
342,bogdanovich puts history in perspective and via kirsten dunst remarkable performance he showcases davies as young woman of great charm generosity and diplomacy,positive
343,this breezy caper movie becomes soulful incisive meditation on the way we were and the way we are,positive
344,captivating new film,positive
345,those who are put off by the film austerity will find it more than capable of rewarding them,positive
346,it clear eyed portrait of an intensely lived time filled with nervous energy moral ambiguity and great uncertainties,positive
347,reveals how important our special talents can be when put in service of of others,positive
348,it also shows how deeply felt emotions can draw people together across the walls that might otherwise separate them,positive
349,with the same sort of good natured fun found in films like tremors eight legged freaks is prime escapist fare,positive
350,sharp amusing study of the cult of celebrity,positive
351,the sentimental cliches mar an otherwise excellent film,positive
352,powerful performance from mel gibson and brutal minute battle sequence that does everything but issue you dog tag and an,positive
353,graceful moving tribute to the courage of new york finest and nicely understated expression of the grief shared by the nation at their sacrifice,positive
354,coming of age tale from new zealand whose boozy languid air is balanced by rich visual clarity and deeply felt performances across the board,positive
355,made to be jaglomized is the cannes film festival the annual riviera spree of flesh buzz blab and money,negative
356,the charming result is festival in cannes,positive
357,if you re looking for something new and hoping for something entertaining you re in luck,positive
358,hugely rewarding experience that every bit as enlightening insightful and entertaining as grant two best films four weddings and funeral and bridget jones diary,positive
359,rip roaring comedy action fest that ll put hairs on your chest,positive
360,if there no art here it still good yarn which is nothing to sneeze at these days,positive
361,simultaneously heart breaking and very funny the last kiss is really all about performances,positive
362,there is subversive element to this disney cartoon providing unexpected fizzability,positive
363,an unforgettable look at morality family and social expectation through the prism of that omnibus tradition called marriage,positive
364,an enjoyable if occasionally flawed experiment,positive
365,miyazaki is one of world cinema most wondrously gifted artists and storytellers,positive
366,if ayurveda can help us return to sane regimen of eating sleeping and stress reducing contemplation it is clearly good thing,positive
367,meeting even exceeding expectations it the best sequel since the empire strikes back majestic achievement an epic of astonishing grandeur and surprising emotional depth,positive
368,leigh is one of the rare directors who feels acting is the heart and soul of cinema,positive
369,he allows his cast members to make creative contributions to the story and dialogue,positive
370,this method almost never fails him and it works superbly here,positive
371,poetry in motion captured on film,positive
372,while it can be bit repetitive overall it an entertaining and informative documentary,positive
373,directing with sure and measured hand lrb haneke rrb steers clear of the sensational and offers instead an unflinching and objective look at decidedly perverse pathology,positive
374,the entire movie establishes wonderfully creepy mood,positive
375,found the ring moderately absorbing largely for its elegantly colorful look and sound,positive
376,the filmmakers want nothing else than to show us good time and in their cheap movie way they succeed,positive
377,amari has dressed up this little parable in fairly irresistible package full of privileged moments and memorable performances,positive
378,rabbit proof fence will probably make you angry,neutral
379,but it will just as likely make you weep and it will do so in way that does make you feel like sucker,positive
380,both heartbreaking and heartwarming just simple fable done in an artless sytle but it tremendously moving,positive
381,this masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short,positive
382,the film sense of imagery gives it terrible strength but it propelled by the acting,positive
383,the pianist lrb is rrb supremely hopeful cautionary tale of war madness remembered that we today can prevent its tragic waste of life,positive
384,here is divine monument to single man struggle to regain his life his dignity and his music,positive
385,strange it is but delightfully so,positive
386,elegant mannered and teasing,positive
387,an average coming of age tale elevated by the wholesome twist of pesky mother interfering during her son discovery of his homosexuality,neutral
388,the ingenuity that parker displays in freshening the play is almost in class with that of wilde himself,positive
